time,wave_height (m),wave_direction (°),wave_period (s),wind_wave_height (m),wind_wave_direction (°),swell_wave_height (m),swell_wave_direction (°)
2024-02-26T18:00,0.36,334,3.70,0.12,318,0.34,335
2024-02-26T19:00,0.34,331,3.50,0.12,310,0.32,333
2024-02-26T20:00,0.34,331,3.45,0.12,299,0.32,333
2024-02-26T21:00,0.32,331,3.45,0.10,288,0.32,333
2024-02-26T22:00,0.32,331,3.45,0.10,277,0.32,333
2024-02-26T23:00,0.32,332,3.45,0.08,268,0.32,333
2024-02-27T00:00,0.30,332,3.50,0.08,260,0.30,333
2024-02-27T01:00,0.30,333,3.50,0.06,251,0.30,333
2024-02-27T02:00,0.30,334,3.50,0.04,227,0.30,334
2024-02-27T03:00,0.28,335,3.55,0.02,204,0.28,335
2024-02-27T04:00,0.28,336,3.55,0.00,180,0.28,336
2024-02-27T05:00,0.28,337,3.55,0.00,180,0.28,337
2024-02-27T06:00,0.26,338,3.55,0.00,180,0.26,338
2024-02-27T07:00,0.26,339,3.55,0.00,180,0.26,339
2024-02-27T08:00,0.26,339,3.55,0.00,180,0.26,339
2024-02-27T09:00,0.24,340,3.55,0.00,180,0.24,340
2024-02-27T10:00,0.24,340,3.55,0.00,180,0.24,340
2024-02-27T11:00,0.24,341,3.60,0.02,226,0.24,341
2024-02-27T12:00,0.24,341,3.65,0.02,273,0.24,341
2024-02-27T13:00,0.24,342,3.60,0.04,319,0.24,342
2024-02-27T14:00,0.28,340,3.35,0.12,323,0.24,342
2024-02-27T15:00,0.30,339,3.05,0.18,328,0.22,343
2024-02-27T16:00,0.34,337,2.90,0.26,332,0.22,343
2024-02-27T17:00,0.36,335,3.00,0.26,324,0.26,343
2024-02-27T18:00,0.40,334,3.25,0.26,317,0.30,343
2024-02-27T19:00,0.42,332,3.50,0.26,309,0.34,343
2024-02-27T20:00,0.42,333,3.65,0.22,298,0.36,341
2024-02-27T21:00,0.40,333,3.75,0.16,288,0.38,339
2024-02-27T22:00,0.40,334,3.85,0.12,277,0.40,337
2024-02-27T23:00,0.40,336,4.00,0.10,272,0.40,338
2024-02-28T00:00,0.38,337,4.15,0.08,267,0.38,339
2024-02-28T01:00,0.38,339,4.25,0.06,262,0.38,340
2024-02-28T02:00,0.38,340,4.30,0.08,268,0.38,342
2024-02-28T03:00,0.38,340,4.35,0.10,274,0.36,343
2024-02-28T04:00,0.38,341,4.40,0.12,280,0.36,345
2024-02-28T05:00,0.40,342,4.55,0.12,285,0.38,346
2024-02-28T06:00,0.40,344,4.65,0.14,289,0.38,348
2024-02-28T07:00,0.42,345,4.75,0.14,294,0.40,349
2024-02-28T08:00,0.44,343,4.70,0.16,295,0.40,349
2024-02-28T09:00,0.44,342,4.60,0.20,297,0.40,350
2024-02-28T10:00,0.46,340,4.45,0.22,298,0.40,350
2024-02-28T11:00,0.48,338,4.35,0.26,298,0.40,350
2024-02-28T12:00,0.50,335,4.20,0.28,299,0.42,349
2024-02-28T13:00,0.52,333,4.10,0.32,299,0.42,349
2024-02-28T14:00,0.54,330,4.00,0.36,300,0.42,350
2024-02-28T15:00,0.58,328,3.90,0.40,300,0.42,351
2024-02-28T16:00,0.60,325,3.85,0.44,301,0.42,352
2024-02-28T17:00,0.60,324,3.90,0.44,299,0.42,350
2024-02-28T18:00,0.62,324,3.95,0.42,298,0.44,349
2024-02-28T19:00,0.62,323,4.05,0.42,296,0.44,347
2024-02-28T20:00,0.62,323,4.10,0.40,291,0.46,345
2024-02-28T21:00,0.60,323,4.10,0.38,285,0.48,344
2024-02-28T22:00,0.60,323,4.15,0.36,280,0.50,342
2024-02-28T23:00,0.60,323,4.20,0.34,277,0.50,341
2024-02-29T00:00,0.58,323,4.25,0.32,275,0.50,339
2024-02-29T01:00,0.58,323,4.30,0.30,272,0.50,338
2024-02-29T02:00,0.58,324,4.30,0.30,270,0.50,338
2024-02-29T03:00,0.56,324,4.35,0.28,268,0.50,339
2024-02-29T04:00,0.56,325,4.45,0.28,266,0.50,339
2024-02-29T05:00,0.54,330,4.75,0.22,262,0.50,340
2024-02-29T06:00,0.54,336,5.10,0.14,258,0.52,340
2024-02-29T07:00,0.52,341,5.35,0.08,254,0.52,341
2024-02-29T08:00,0.52,340,5.35,0.12,265,0.50,342
2024-02-29T09:00,0.52,339,5.20,0.16,275,0.50,344
2024-02-29T10:00,0.52,338,5.05,0.20,286,0.48,345
2024-02-29T11:00,0.54,337,4.90,0.24,295,0.48,345
2024-02-29T12:00,0.54,335,4.70,0.30,303,0.46,345
2024-02-29T13:00,0.56,334,4.50,0.34,312,0.46,345
2024-02-29T14:00,0.58,333,4.30,0.38,313,0.44,346
2024-02-29T15:00,0.62,331,4.10,0.44,314,0.44,347
2024-02-29T16:00,0.64,330,4.00,0.48,315,0.42,348
2024-02-29T17:00,0.62,330,4.00,0.44,310,0.42,347
2024-02-29T18:00,0.58,330,4.10,0.38,306,0.44,347
2024-02-29T19:00,0.56,330,4.15,0.34,301,0.44,346
2024-02-29T20:00,0.54,330,4.15,0.32,297,0.44,345
2024-02-29T21:00,0.52,329,4.15,0.28,292,0.42,344
2024-02-29T22:00,0.50,329,4.10,0.26,288,0.42,343
2024-02-29T23:00,0.50,329,4.05,0.26,288,0.42,343
